time_id,hour,minute,second,time_period
0,0,0,0,night
1,0,15,0,night
2,0,30,0,night
3,0,45,0,night
4,1,0,0,night
5,1,15,0,night
6,1,30,0,night
7,1,45,0,night
8,2,0,0,night
9,2,15,0,night
10,2,30,0,night
11,2,45,0,night
12,3,0,0,night
13,3,15,0,night
14,3,30,0,night
15,3,45,0,night
16,4,0,0,night
17,4,15,0,night
18,4,30,0,night
19,4,45,0,night
20,5,0,0,night
21,5,15,0,night
22,5,30,0,night
23,5,45,0,night
24,6,0,0,morning
25,6,15,0,morning
26,6,30,0,morning
27,6,45,0,morning
28,7,0,0,morning
29,7,15,0,morning
30,7,30,0,morning
31,7,45,0,morning
32,8,0,0,morning
33,8,15,0,morning
34,8,30,0,morning
35,8,45,0,morning
36,9,0,0,morning
37,9,15,0,morning
38,9,30,0,morning
39,9,45,0,morning
40,10,0,0,morning
41,10,15,0,morning
42,10,30,0,morning
43,10,45,0,morning
44,11,0,0,morning
45,11,15,0,morning
46,11,30,0,morning
47,11,45,0,morning
48,12,0,0,afternoon
49,12,15,0,afternoon
50,12,30,0,afternoon
51,12,45,0,afternoon
52,13,0,0,afternoon
53,13,15,0,afternoon
54,13,30,0,afternoon
55,13,45,0,afternoon
56,14,0,0,afternoon
57,14,15,0,afternoon
58,14,30,0,afternoon
59,14,45,0,afternoon
60,15,0,0,afternoon
61,15,15,0,afternoon
62,15,30,0,afternoon
63,15,45,0,afternoon
64,16,0,0,afternoon
65,16,15,0,afternoon
66,16,30,0,afternoon
67,16,45,0,afternoon
68,17,0,0,evening
69,17,15,0,evening
70,17,30,0,evening
71,17,45,0,evening
72,18,0,0,evening
73,18,15,0,evening
74,18,30,0,evening
75,18,45,0,evening
76,19,0,0,evening
77,19,15,0,evening
78,19,30,0,evening
79,19,45,0,evening
80,20,0,0,evening
81,20,15,0,evening
82,20,30,0,evening
83,20,45,0,evening
84,21,0,0,night
85,21,15,0,night
86,21,30,0,night
87,21,45,0,night
88,22,0,0,night
89,22,15,0,night
90,22,30,0,night
91,22,45,0,night
92,23,0,0,night
93,23,15,0,night
94,23,30,0,night
95,23,45,0,night
