vehicle_key,auto_id,vin,make,year,transmission,owner_id,effective_date,end_date,is_current
1,1,FHL3O1SA4IEHB4WU1,Contoso Motors,2007,Manual,1,2026-05-22,,True
2,2,PUB3U17PS911EB369,Contoso Motors,2005,Manual,86,2026-05-22,,True
3,3,OA1FTZ9HJBS0LH0HP,Contoso Motors,2005,Automatic,138,2026-05-22,,True
4,4,JTHMYHQTEPP4WBMRN,Contoso Motors,2007,Automatic,4,2026-05-22,,True
5,5,9230C202Z60XX84AU,Contoso Motors,2004,Automatic,24,2026-05-22,,True
6,6,TEE8OFO7KCFO1PQH6,Contoso Motors,2011,Automatic,72,2026-05-22,,True
7,7,3581A1IM5GCDDNX6S,Contoso Motors,2012,Automatic,439,2026-05-22,,True
8,8,5KKR2VB4WHQH97PF8,Contoso Motors,2016,Automatic,8,2026-05-22,,True
9,9,C7DB1JTWYWWVOCU3K,Contoso Motors,2005,Manual,257,2026-05-22,,True
10,10,26WJSGHX4MA5ROHNL,Contoso Motors,2013,Semi-Automatic,10,2026-05-22,,True
11,11,8Y5QKG27QET1RBK7I,Contoso Motors,2009,Automatic,18,2026-05-22,,True
12,12,TS61YCX093VPDBN4C,Contoso Motors,2007,Automatic,522,2026-05-22,,True
13,13,HE0Y7YC1BJJBQ7K98,Contoso Motors,2010,Manual,146,2026-05-22,,True
14,14,3HUG8Y362XD2AWKDY,Contoso Motors,2015,Manual,206,2026-05-22,,True
15,15,LVYE74QDF2F9CRP70,Contoso Motors,2004,Manual,445,2026-05-22,,True
16,16,F19LDAGBRRYUMX2UX,Contoso Motors,2005,Automatic,146,2026-05-22,,True
17,17,FEP3U8HGTMIW5CPBU,Contoso Motors,2007,Automatic,258,2026-05-22,,True
18,18,O8NSRUCP8NC0XG4YQ,Contoso Motors,2005,Automatic,402,2026-05-22,,True
19,19,BWQ77DOTN9R6J8DR6,Contoso Motors,2007,Manual,265,2026-05-22,,True
20,20,Z2EOZWZBXAEW3E60T,Contoso Motors,2013,Semi-Automatic,20,2026-05-22,,True
21,21,3ADD7VN2KKRYOT2XS,Contoso Motors,2013,Automatic,142,2026-05-22,,True
22,22,RD8HGV484NLOVRUHP,Contoso Motors,2012,Automatic,487,2026-05-22,,True
23,23,R0JAUHT1L1R3BIKI0,Contoso Motors,2011,Automatic,23,2026-05-22,,True
24,24,ZV03D9VP79L5BZ98V,Contoso Motors,2013,Automatic,704,2026-05-22,,True
25,25,OZPT7F80EYFGFFEFA,Contoso Motors,2004,Automatic,752,2026-05-22,,True
26,26,4WPYRUZII5YV7YA42,Contoso Motors,2007,Automatic,26,2026-05-22,,True
27,27,I8K5MU1DHDBVGGFFQ,Contoso Motors,2009,Automatic,822,2026-05-22,,True
28,28,XUF99EW9OIQOMV7Q7,Contoso Motors,2011,Automatic,28,2026-05-22,,True
29,29,T2OG788FMQZNQGVS2,Contoso Motors,2016,Automatic,870,2026-05-22,,True
