event_key,event_id,vehicle_key,driver_key,date_id,time_id,odometer,vehicle_speed,fuel_level,engine_speed,accelerator_pedal_position,is_speeding,is_harsh_braking,is_harsh_acceleration,fuel_consumption_rate
1,2,2,1,6570,360,13966.579,0.0,89.674202,776,0.0,False,False,False,0.0005536252202332272
2,3,2,1,6570,360,13966.579,0.0,89.674202,782,0.0,False,False,False,0.0005538444421900173
3,4,2,1,6570,360,13966.579,0.0,89.674202,766,0.0,False,False,False,0.0005540635925524388
4,5,2,1,6570,360,13966.581,0.82,89.674202,752,3.8,False,False,False,0.0005543350706181693
5,6,2,1,6570,360,13966.592,2.35,89.565506,774,0.0,False,False,False,0.0005547264696735127
6,7,2,1,6570,360,13966.621,19.1,89.239418,1680,9.3,False,False,False,0.0005553877070404473
7,8,2,1,6570,360,13966.671,21.24,89.239418,1280,8.6,False,False,False,0.0005559851030282715
8,9,2,1,6570,360,13966.731,20.789999,88.91333,1192,6.3,False,False,False,0.0005563960961161122
9,10,2,1,6570,360,13966.785,15.059999,88.695938,776,0.0,False,False,False,0.0005567299324839264
10,11,2,1,6570,360,13966.84,27.76,88.36985,1656,13.3,False,False,False,0.0005576333205420451
11,12,2,1,6570,360,13966.895,5.21,88.36985,794,0.0,False,False,False,0.0005579096205978066
12,13,2,1,6570,360,13966.896,0.0,88.043762,772,0.0,False,False,False,0.0005581829933441658
13,14,2,1,6570,360,13966.896,4.65,87.608978,1140,7.0,False,False,False,0.0005584886227675234
14,15,2,1,6570,360,13966.938,25.369999,87.174194,2120,9.1,False,False,False,0.0005594035425987716
15,16,2,1,6570,360,13967.005,16.77,87.065498,870,0.0,False,False,False,0.0005597993414234889
16,17,2,1,6570,360,13967.017,0.0,87.065498,770,0.0,False,False,False,0.0005600632502093891
17,18,2,1,6570,360,13967.017,0.0,86.848106,772,0.0,False,False,False,0.0005603347991343367
18,19,2,1,6570,360,13967.017,0.0,86.413322,776,0.0,False,False,False,0.0005606082094544989
19,20,2,1,6570,360,13967.017,0.0,85.978539,772,0.0,False,False,False,0.0005608816197746609
20,21,2,1,6570,360,13967.053,37.799999,85.652451,2504,33.600002,False,False,False,0.0005624049393283373
21,22,2,1,6570,360,13967.144,15.65,85.652451,784,0.0,False,False,False,0.0005628943258316924
22,23,2,1,6570,360,13967.154,0.0,85.652451,774,0.0,False,False,False,0.0005631655407006538
23,24,2,1,6570,360,13967.154,0.0,85.652451,768,0.0,False,False,False,0.0005634335073911699
24,25,2,1,6570,360,13967.163,4.75,85.652451,794,0.0,False,False,False,0.0005638122206907236
25,26,2,1,6570,360,13967.167,5.28,85.652451,1132,11.2,False,False,False,0.0005641249134550009
26,27,2,1,6570,360,13967.229,25.449999,85.652451,1228,0.0,False,False,False,0.0005652962877398417
27,28,2,1,6570,360,13967.263,6.27,85.652451,846,0.0,False,False,False,0.000565562589994189
28,29,2,1,6570,360,13967.313,13.77,85.652451,836,0.0,False,False,False,0.0005664964695450338
29,30,2,1,6570,360,13967.315,0.0,85.652451,762,0.0,False,False,False,0.0005667679315651172
30,31,2,1,6570,360,13967.315,0.0,85.326363,768,0.0,False,False,False,0.0005670467769376621
31,32,2,1,6570,360,13967.315,0.0,84.891579,780,0.0,False,False,False,0.0005673256223102071
32,33,2,1,6570,360,13967.315,0.0,84.456795,782,0.0,False,False,False,0.0005676026063272485
33,34,2,1,6570,360,13967.315,0.0,83.913315,1400,13.8,False,False,False,0.0005678957698190512
34,35,2,1,6570,360,13967.357,26.0,83.804619,1256,0.0,False,False,False,0.000569041441309096
35,36,2,1,6570,360,13967.389,0.0,83.804619,768,0.0,False,False,False,0.0005692900591471214
36,37,2,1,6570,360,13967.389,0.0,83.695923,778,0.0,False,False,False,0.0005695616724305144
37,38,2,1,6570,360,13967.392,7.39,83.261139,1850,19.300001,False,False,False,0.0005699172818174061
38,39,2,1,6570,360,13967.473,15.07,83.043747,796,0.0,False,False,False,0.0005715726407603751
39,40,2,1,6570,360,13967.499,21.109999,83.043747,1256,16.300001,False,False,False,0.0005720777873127242
40,41,2,1,6570,360,13967.526,0.0,83.043747,768,0.0,False,False,False,0.0005724450095879837
41,42,2,1,6570,360,13967.548,22.559999,83.043747,2004,9.7,False,False,False,0.0005730614950100755
42,43,2,1,6570,360,13967.618,42.950001,83.043747,3636,39.900002,False,False,False,0.0005744626275842034
43,44,2,1,6570,360,13967.728,19.439999,82.935051,758,0.0,False,False,False,0.0005750727625307043
44,45,2,1,6570,360,13967.738,0.0,82.935051,776,0.0,False,False,False,0.0005753297828336389
45,46,2,1,6570,360,13967.738,0.0,82.935051,768,0.0,False,False,False,0.0005755942304881085
46,47,2,1,6570,360,13967.738,0.0,82.608963,772,0.0,False,False,False,0.0005758587497310065
47,48,2,1,6570,360,13967.738,0.0,82.174179,766,0.0,False,False,False,0.0005761267768068955
48,49,2,1,6570,360,13967.761,24.99,81.848091,2222,19.6,False,False,False,0.0005768501587220226
49,50,2,1,6570,360,13967.878,42.469997,81.739395,1244,0.0,False,False,False,0.0005784859027332045
50,51,2,1,6570,360,13967.959,12.219999,81.739395,764,0.0,False,False,False,0.0005786689616599204
51,52,2,1,6570,360,13967.966,0.0,81.739395,772,0.0,False,False,False,0.0005789402021595585
52,53,2,1,6570,360,13967.966,0.0,81.739395,774,0.0,False,False,False,0.0005792029274035029
53,54,2,1,6570,360,13967.967,1.49,81.739395,840,16.0,False,False,False,0.0005794726983033177
54,55,2,1,6570,360,13968.055,43.489998,81.739395,1582,5.8,False,False,False,0.0005812806234924267
55,56,2,1,6570,360,13968.15,16.76,81.739395,804,0.0,False,False,False,0.0005815203502002628
56,57,2,1,6570,360,13968.162,4.29,81.739395,822,0.0,False,False,False,0.000581802401604334
57,58,2,1,6570,360,13968.227,44.5,81.739395,2498,23.700001,False,False,False,0.0005837200583826149
58,59,2,1,6570,360,13968.351,37.239998,81.739395,1076,0.0,False,False,False,0.0005843390290644139
59,60,2,1,6570,360,13968.394,0.0,81.739395,784,0.0,False,False,False,0.0005845537752031334
60,61,2,1,6570,360,13968.394,0.0,81.739395,768,0.0,False,False,False,0.0005848200000658583
61,62,2,1,6570,360,13968.395,0.0,81.739395,772,0.0,False,False,False,0.0005850862546302113
62,63,2,1,6570,360,13968.395,0.0,81.739395,766,0.0,False,False,False,0.0005853542691004155
63,64,2,1,6570,360,13968.395,0.0,81.739395,782,0.0,False,False,False,0.0005856187043175456
64,65,2,1,6570,360,13968.395,0.0,81.739395,778,0.0,False,False,False,0.000585888508414287
65,66,2,1,6570,360,13968.396,0.0,81.739395,770,0.0,False,False,False,0.0005861600601772618
66,67,2,1,6570,360,13968.433,34.119999,81.739395,2120,26.0,False,False,False,0.0005873345038413512
67,68,2,1,6570,360,13968.557,49.489998,81.739395,1800,0.0,False,False,False,0.0005881900191967433
68,69,2,1,6570,360,13968.624,0.0,81.739395,792,0.0,False,False,False,0.0005883380970024676
69,70,2,1,6570,360,13968.624,0.0,81.739395,760,0.0,False,False,False,0.0005886025278847878
70,71,2,1,6570,360,13968.624,0.0,81.739395,770,0.0,False,False,False,0.0005888652407537955
71,72,2,1,6570,360,13968.625,0.0,81.739395,766,0.0,False,False,False,0.0005891349982551429
72,73,2,1,6570,360,13968.629,9.91,81.739395,1960,29.200001,False,False,False,0.0005894693409538649
73,74,2,1,6570,360,13968.699,45.91,81.739395,2952,45.400002,False,False,False,0.0005916278511083166
74,75,2,1,6570,360,13968.85,60.049999,81.739395,2200,37.400002,False,False,False,0.0005933235503602401
75,76,2,1,6570,360,13969.035,65.369995,81.739395,1648,0.0,False,False,False,0.0005945574939504447
76,77,2,1,6570,360,13969.212,72.860001,81.739395,1840,34.5,False,False,False,0.0005961857271743622
77,78,2,1,6570,360,13969.427,86.489998,81.739395,3550,30.300001,False,False,False,0.0005986590817875503
78,79,2,1,6570,364,13969.661,79.689995,81.739395,1488,3.8,False,False,False,0.0005993092953869542
79,80,2,1,6570,364,13969.874,75.409996,81.739395,1898,0.0,False,False,False,0.0006002411874876261
80,81,2,1,6570,364,13970.075,71.779999,81.739395,2172,21.0,False,False,False,0.0006017195527187421
81,82,2,1,6570,364,13970.292,78.759995,81.739395,1392,0.0,False,False,False,0.0006031683397641392
82,83,2,1,6570,364,13970.482,64.830002,81.739395,2130,12.3,False,False,False,0.0006036510657924477
83,84,2,1,6570,364,13970.655,64.479996,81.739395,1610,0.0,False,False,False,0.000604132008699041
84,85,2,1,6570,364,13970.829,58.689999,81.739395,1514,17.800001,False,False,False,0.0006046393782803955
85,86,2,1,6570,364,13970.997,63.049999,81.739395,1846,0.0,False,False,False,0.0006057363882915234
86,87,2,1,6570,364,13971.164,59.209999,81.739395,1502,4.5,False,False,False,0.0006064483640472585
87,88,2,1,6570,364,13971.333,61.66,81.739395,1684,10.6,False,False,False,0.0006073586995099529
88,89,2,1,6570,364,13971.507,59.77,81.739395,1508,0.0,False,False,False,0.0006081063333874157
89,90,2,1,6570,364,13971.694,70.099998,81.739395,1314,0.0,False,False,False,0.0006103651164192102
90,91,2,1,6570,364,13971.872,52.02,81.739395,1310,0.0,False,True,False,0.0006104816533064927
91,92,2,1,6570,364,13971.945,4.54,81.739395,782,0.0,False,False,False,0.0006106523714220588
92,93,2,1,6570,364,13971.969,14.87,81.739395,1186,0.0,False,False,False,0.0006112625026220269
93,94,2,1,6570,364,13972.021,33.469997,81.739395,2492,0.0,False,False,False,0.0006124214656229315
94,95,2,1,6570,364,13972.075,11.49,81.739395,1498,0.0,False,False,False,0.0006127289089910417
95,96,2,1,6570,364,13972.081,0.0,81.739395,766,0.0,False,False,False,0.0006130040325394234
96,97,2,1,6570,364,13972.081,0.0,81.739395,778,0.0,False,False,False,0.0006132719763093051
97,98,2,1,6570,364,13972.081,0.0,81.739395,770,0.0,False,False,False,0.0006135399200791865
98,99,2,1,6570,364,13972.081,0.0,81.739395,774,0.0,False,False,False,0.0006138114421579607
99,100,2,1,6570,364,13972.143,44.259998,81.739395,2296,0.0,False,False,False,0.0006159673596699038
100,101,2,1,6570,364,13972.201,0.0,81.739395,776,0.0,False,False,False,0.0006162227252009042
101,102,2,1,6570,364,13972.236,28.949999,81.739395,1696,12.7,False,False,False,0.0006171098806318021
102,103,2,1,6570,364,13972.307,15.929999,81.739395,868,0.0,False,False,False,0.0006175478002451388
103,104,2,1,6570,364,13972.332,29.549999,81.739395,2634,31.6,False,False,False,0.0006187332412913399
104,105,2,1,6570,364,13972.429,22.769999,81.739395,770,0.0,False,False,False,0.0006195870748690246
105,106,2,1,6570,364,13972.442,0.0,81.739395,770,0.0,False,False,False,0.0006198384764469628
106,107,2,1,6570,364,13972.442,0.0,81.739395,788,0.0,False,False,False,0.0006201064132945913
107,108,2,1,6570,364,13972.442,0.0,81.739395,766,0.0,False,False,False,0.0006203725610339957
108,109,2,1,6570,364,13972.442,0.0,81.739395,782,0.0,False,False,False,0.0006206440760980725
109,110,2,1,6570,364,13972.442,0.0,81.304611,782,0.0,False,False,False,0.0006209120129457009
110,111,2,1,6570,364,13972.442,1.94,80.869827,1358,15.2,False,False,False,0.0006211943342234505
111,112,2,1,6570,364,13972.511,23.309999,80.543739,1148,0.0,False,False,False,0.0006227812752285378
112,113,2,1,6570,364,13972.523,0.0,80.543739,748,0.0,False,False,False,0.000623038084239744
113,114,2,1,6570,364,13972.523,0.0,80.326347,764,0.0,False,False,False,0.0006233060195342292
114,115,2,1,6570,364,13972.523,0.0,79.891563,772,0.0,False,False,False,0.0006235774614605065
115,116,2,1,6570,364,13972.523,4.87,79.782867,1586,14.900001,False,False,False,0.0006239100189694468
116,117,2,1,6570,364,13972.596,26.609999,79.565475,1254,0.0,False,False,False,0.0006255543669646668
117,118,2,1,6570,364,13972.627,4.88,79.565475,812,0.0,False,False,False,0.000625907933566568
118,119,2,1,6570,364,13972.628,0.0,79.565475,778,0.0,False,False,False,0.0006261741045346277
119,120,2,1,6570,364,13972.636,11.29,79.565475,1454,3.2,False,False,False,0.0006267185577182631
120,121,2,1,6570,364,13972.708,32.290001,79.456779,1554,0.0,False,False,False,0.0006283988473209831
