vin,make,year,Model,auto_id,owner_id,DriveTrain,EngineType,transmission,ExteriorColor,InteriorColor,created_at,updated_at
FHL3O1SA4IEHB4WU1,Contoso Motors,2007,Sedan,1,1,FWD,6 Cylinder,Manual,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
PUB3U17PS911EB369,Contoso Motors,2005,Sedan,2,86,FWD,6 Cylinder,Manual,Thunder Gray,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
OA1FTZ9HJBS0LH0HP,Contoso Motors,2005,Wagon,3,138,FWD,6 Cylinder,Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
JTHMYHQTEPP4WBMRN,Contoso Motors,2007,Minivan,4,4,FWD,6 Cylinder,Automatic,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
9230C202Z60XX84AU,Contoso Motors,2004,SUV,5,24,AWD,6 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
TEE8OFO7KCFO1PQH6,Contoso Motors,2011,SUV,6,72,FWD,4 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
3581A1IM5GCDDNX6S,Contoso Motors,2012,Commercial,7,439,AWD,8 Cylinder,Automatic,Gray,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
5KKR2VB4WHQH97PF8,Contoso Motors,2016,Convertible 2DR,8,8,FWD,8 Cylinder,Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
C7DB1JTWYWWVOCU3K,Contoso Motors,2005,Coupe,9,257,FWD,4 Cylinder,Manual,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
26WJSGHX4MA5ROHNL,Contoso Motors,2013,Hybrid,10,10,FWD,Hybrid,Semi-Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
8Y5QKG27QET1RBK7I,Contoso Motors,2009,Truck,11,18,AWD,10 Cylinder,Automatic,Blue,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
TS61YCX093VPDBN4C,Contoso Motors,2007,Wagon,12,522,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HE0Y7YC1BJJBQ7K98,Contoso Motors,2010,Sedan,13,146,FWD,6 Cylinder,Manual,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
3HUG8Y362XD2AWKDY,Contoso Motors,2015,Sedan,14,206,AWD,6 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
LVYE74QDF2F9CRP70,Contoso Motors,2004,Sedan,15,445,FWD,6 Cylinder,Manual,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
F19LDAGBRRYUMX2UX,Contoso Motors,2005,Wagon,16,146,AWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
FEP3U8HGTMIW5CPBU,Contoso Motors,2007,Truck,17,258,AWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
O8NSRUCP8NC0XG4YQ,Contoso Motors,2005,Truck,18,402,FWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
BWQ77DOTN9R6J8DR6,Contoso Motors,2007,Coupe,19,265,AWD,4 Cylinder,Manual,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
Z2EOZWZBXAEW3E60T,Contoso Motors,2013,Hybrid,20,20,FWD,Hybrid,Semi-Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
3ADD7VN2KKRYOT2XS,Contoso Motors,2013,SUV,21,142,FWD,Electric,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
RD8HGV484NLOVRUHP,Contoso Motors,2012,Commercial,22,487,AWD,8 Cylinder,Automatic,Gray,Dark Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
R0JAUHT1L1R3BIKI0,Contoso Motors,2011,Convertible 2DR,23,23,AWD,Electric,Automatic,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
ZV03D9VP79L5BZ98V,Contoso Motors,2013,SUV,24,704,FWD,6 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
OZPT7F80EYFGFFEFA,Contoso Motors,2004,SUV,25,752,RWD,8 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
4WPYRUZII5YV7YA42,Contoso Motors,2007,Minivan,26,26,FWD,6 Cylinder,Automatic,Thunder Gray,Gray,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
I8K5MU1DHDBVGGFFQ,Contoso Motors,2009,SUV,27,822,FWD,4 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
XUF99EW9OIQOMV7Q7,Contoso Motors,2011,Minivan,28,28,FWD,6 Cylinder,Automatic,Volcanic Orange,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
T2OG788FMQZNQGVS2,Contoso Motors,2016,SUV,29,870,FWD,4 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
UXO8LUK75DYL9WZLK,Contoso Motors,2015,Minivan,30,30,FWD,6 Cylinder,Automatic,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
XYDBXU9MA5XXPPQR0,Contoso Motors,2016,Minivan,31,31,FWD,6 Cylinder,Automatic,Silver,Ivory,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
JF1GH6B60BG81026,Contoso Motors,2017,Convertible 2DR,32,81,RWD,8 Cylinder,Manual,Black,Midnight Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
AVHD2GCOA2NN5ES9J,Contoso Motors,2016,Convertible 2DR,33,85,RWD,6 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
ZVTOCRLBYKEB1Y5L9,Contoso Motors,2015,Minivan,34,34,FWD,6 Cylinder,Automatic,White Silver,Smoke White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
RXB14GHQFO3PUYKNS,Contoso Motors,2005,Sedan,35,565,AWD,6 Cylinder,Manual,Racing Green,Beige,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
0125DITL7HX8TYA6T,Contoso Motors,2016,Wagon,36,386,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
5199WY00VHB6G0WDW,Contoso Motors,2016,Sedan,37,770,FWD,6 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
HOVSW338LVHWN2KVR,Contoso Motors,2007,Sedan,38,830,FWD,6 Cylinder,Manual,Blue,Old Lace,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
BPMFLFF6LNYIOMAVX,Contoso Motors,2005,SUV,39,22,FWD,Electric,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
LTZFCUSVPFQ4W7Z4J,Contoso Motors,2007,Truck,40,642,FWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
6R0Q5GZP90RLBIZSF,Contoso Motors,2004,Truck,41,761,AWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
8UW5Z294E0NJMJPLJ,Contoso Motors,2015,Wagon,42,530,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
2MVDG47OQ3G5I49FK,Contoso Motors,2013,Wagon,43,770,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
60G4SUPG5KNFU3ZYS,Contoso Motors,2016,Minivan,44,44,FWD,6 Cylinder,Automatic,Deep Blue,Brown,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
0IBN9W4FLJTNDM6G4,Contoso Motors,2011,Minivan,45,45,FWD,6 Cylinder,Automatic,Midnight Black,Silverstone,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
Q0OIIVH166MJM9SRH,Contoso Motors,2004,SUV,46,280,AWD,6 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
1YMDHCCKY6126ZU1K,Contoso Motors,2009,Wagon,47,394,FWD,6 Cylinder,Automatic,Deep Blue,White,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
9RPS1HJG9D1LBEQQH,Contoso Motors,2011,Truck,48,881,FWD,10 Cylinder,Automatic,Black,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
0PLKJAYEVRA6NRU0J,Contoso Motors,2011,SUV,49,328,AWD,4 Cylinder,Automatic,Blazing Gray,Black,2026-05-22 14:06:35.718300,2026-05-22 14:06:35.719893
